,District No.,District Name,Location Address,Land Area in Square Miles,Home County,K-12 Enrollment Fall 2017,"Dropout Rate
 (%)",Attendance Rate,Free & Reduced Lunch Eligibility Percentage,Percent of Special Education Students,Average Teacher Salary,Teacher - Avg Yrs of Experience,Teacher - % with Advanced Degree,ACT Composite Score,No. of Students Taking the ACT,Instructional Days,Instructional Minutes,Instructional Hours,4_day_bin,county_population,zip
53,33001,Freeman School District 33-1,"1001 S Wipf St, Freeman, SD  57029",238.83,Hutchinson,313,0.016,0.9584,0.182,0.2109,"43,308 ",16.4,0.2909,22.8,12,174.0,60192.0,947.216668,0.0,7277.0,57029
54,49004,Garretson School District 49-4,"505 2nd St, Garretson, SD  57030",88.37,Minnehaha,476,0.0,0.9645,0.179,0.1392,"44,587 ",15.9,0.2,21.0,35,169.0,61928.666666666664,1032.1444433333334,0.0,183660.0,57030
55,63001,Gayville-Volin School District 63-1,"100 Kingsbury St, Gayville, SD  57031",72.31,Yankton,279,0.0,0.9509,0.437,0.1824,"41,564 ",10.9,0.8028,23.1,13,163.16666666666666,60400.0,1006.6666666666666,0.0,22660.0,57031
56,53001,Gettysburg School District 53-1,"100 E King Ave, Gettysburg, SD  57442",222.43,Potter,243,0.024,0.9573,0.292,0.1687,"40,372 ",14.6,0.215,20.8,12,163.0,61481.0,1024.68333,0.0,2318.0,57442
57,26004,Gregory School District 26-4,"505 Logan, Gregory, SD  57533",515.45,Gregory,369,0.006,0.9568,0.499,0.1274,"42,743 ",15.8,0.1565,20.2,19,167.0,60815.0,1013.5833333333334,0.0,4209.0,57533
58,6006,Groton Area School District 06-6,"406 N 2nd St, Groton, SD  57445",872.34,Brown,567,0.004,0.95,0.145,0.1334,"46,870 ",19.1,0.191,22.0,23,168.33333333333334,61355.333333333336,1022.5888866666668,0.0,38637.0,57445
59,27001,Haakon School District 27-1,"330 Scottie Ave, Philip, SD  57567",1663.04,Haakon,300,0.006999999999999999,0.9637,0.22,0.1,"45,832 ",18.6,0.2897,21.7,23,151.0,60429.0,1007.1500000000001,1.0,2084.0,57567
60,28003,Hamlin School District 28-3,"44577 188th St, Hayti, SD  57241",364.24,Hamlin,775,0.0,0.9647,0.455,0.0908,"45,100 ",12.0,0.2845,24.6,28,168.75,62608.0,1043.4666674999999,0.0,5911.0,57241
61,30001,Hanson School District 30-1,"230 6th St, Alexandria, SD  57311",257.48,Hanson,407,0.006,0.9623,0.211,0.1953,"41,676 ",17.1,0.3443,22.5,13,171.5,63973.5,1066.2249983333334,0.0,3404.0,57311
62,31001,Harding County School District 31-1,"12474 Tipperary St, Buffalo, SD  57720",2684.1,Harding,195,0.0,0.9788,0.226,0.2359,"43,586 ",15.3,0.2079,20.7,12,215.0,78960.0,1316.0,0.0,1281.0,57720
63,41002,Harrisburg School District 41-2,"200 Willow St, Harrisburg, SD  57032",70.96,Lincoln,4520,0.009000000000000001,0.9627,0.143,0.1819,"46,954 ",9.4,0.3922,22.8,176,170.0,61220.8,1020.3466689999999,0.0,53147.0,57032
64,14002,Henry School District 14-2,"111 N Cedar St, Henry, SD  57243",100.19,Codington,165,0.012,0.9503,0.412,0.1412,"45,908 ",13.1,0.3684,,8,144.0,57133.666666666664,952.2277799999998,1.0,27963.0,57243
65,10001,Herreid School District 10-1,"302 Main St N, Herreid, SD  57632",274.06,Campbell,109,0.0,0.937,0.284,0.1284,"43,795 ",22.2,0.1711,20.3,11,146.0,58546.0,975.76667,1.0,1443.0,57632
66,34002,Highmore-Harrold School District 34-2,"415 Iowa Ave S, Highmore, SD  57345",1133.09,Hyde,235,0.008,0.957,0.309,0.1585,"44,041 ",14.6,0.03,21.9,13,167.66666666666666,61692.0,1028.2000033333334,0.0,1373.0,57345
67,51002,Hill City School District 51-2,"488 Main St, Hill City, SD  57745",579.58,Pennington,456,0.009000000000000001,0.9537,0.395,0.1283,"45,880 ",13.0,0.1357,25.6,18,168.0,64339.333333333336,1072.3222233333333,0.0,108126.0,57745
68,56006,Hitchcock-Tulare School District 56-6,"401 4th Ave, Tulare, SD  57476",483.42,Spink,232,0.011000000000000001,0.9873,0.185,0.1552,"43,747 ",9.3,0.04,21.2,13,155.8,61990.2,1033.1699999999998,1.0,6478.0,57476
69,23002,Hot Springs School District 23-2,"1609 University Ave, Hot Springs, SD  57747",591.1,Fall River,772,0.008,0.9496,0.353,0.1331,"43,409 ",13.5,0.3168,22.0,34,149.0,62647.333333333336,1044.12222,1.0,6783.0,57747
70,53002,Hoven School District 53-2,"98 5th Ave West, Hoven, SD  57450",751.19,Potter,102,0.0,0.9515,0.402,0.1909,"38,001 ",9.0,0.1294,,7,303.5,114085.25,1901.4208325,0.0,2318.0,57450
71,48003,Howard School District 48-3,"500 N Section Line St, Howard, SD  57349",530.91,Miner,363,0.0,0.9621,0.24,0.1653,"43,635 ",14.7,0.2314,21.7,20,157.66666666666666,56998.0,949.9666649999999,0.0,2255.0,57349
72,2002,Huron School District 02-2,"150 5th St SW, Huron, SD  57350",433.14,Beadle,2598,0.040999999999999995,0.9441,0.596,0.1728,"48,894 ",14.4,0.3903,20.4,80,174.88888888888889,58634.77777777778,972.6629644444444,0.0,18163.0,57350
73,22006,Ipswich Public School District 22-6,"510 2nd Ave, Ipswich, SD  57451",534.7,Edmunds,405,0.006,0.9591,0.257,0.1335,"44,297 ",17.1,0.1695,21.6,18,169.5,59971.666666666664,999.5277783333335,0.0,3971.0,57451
74,13003,Irene-Wakonda School District 13-3,"130 E State St, Irene, SD  57037",283.61,Clay,294,0.006999999999999999,0.9751,0.337,0.1804,"42,209 ",15.1,0.1809,20.9,20,151.5,59388.0,989.8,1.0,13907.0,57037
75,2003,Iroquois School District 02-3,"111 E Washita St, Iroquois, SD  57353",376.41,Beadle,219,0.0,0.9467,0.452,0.1659,"44,399 ",13.7,0.4375,,4,150.75,60193.25,1003.220835,1.0,18163.0,57353
76,37003,Jones County School District 37-3,"404 Jackson Ave, Murdo, SD  57559",946.57,Jones,186,0.0,0.9503,0.43,0.2043,"42,414 ",14.6,0.05,,7,168.0,63582.333333333336,1059.7055566666668,0.0,740.0,57559
77,35002,Kadoka Area School District 35-2,"800 Bayberry St, Kadoka, SD  57543",2069.52,Jackson,319,0.038,0.9362,0.486,0.1429,"43,087 ",13.5,0.0968,19.8,12,143.44444444444446,60972.0,1016.200001111111,1.0,3275.0,57543
78,7002,Kimball School District 07-2,"300 S East St, Kimball, SD  57355",474.21,Brule,303,0.008,0.9685,0.472,0.1321,"45,492 ",12.6,0.3097,,8,167.2,60848.2,1014.1366660000001,0.0,5280.0,57355
79,38003,Lake Preston School District 38-3,"300 1st St NE, Lake Preston, SD  57249",198.07,Kingsbury,156,0.0,0.9631,0.423,0.157,"42,563 ",16.5,0.1702,,7,170.0,67019.0,1116.9833366666664,0.0,5000.0,57249
80,45005,Langford Area School District 45-5,"206 Chestnut St, Langford, SD  57454",424.8,Marshall,203,0.0,0.9568,0.54,0.1262,"44,130 ",17.0,0.1667,21.3,13,168.0,59926.0,998.7666650000001,0.0,4759.0,57454
81,40001,Lead-Deadwood School District 40-1,"320 S Main St, Lead, SD  57754",431.9,Lawrence,819,0.107,0.9414,0.568,0.1258,"49,093 ",13.9,0.3485,22.1,36,184.0,70659.0,1177.65,0.0,25018.0,57754
82,52004,Lemmon School District 52-4,"209 3rd St W, Lemmon, SD  57638",1646.61,Perkins,246,0.011000000000000001,0.9641,0.384,0.126,"47,413 ",14.1,0.4019,21.6,16,142.0,59130.0,985.5,1.0,2964.0,57638
83,41004,Lennox School District 41-4,"305 West 5th Ave, Lennox, SD  57039",191.83,Lincoln,1076,0.002,0.961,0.169,0.1579,"42,806 ",10.5,0.3277,21.9,46,172.0,64830.2,1080.503336,0.0,53147.0,57039
84,44002,Leola School District 44-2,"820 Leola Ave, Leola, SD  57456",596.87,McPherson_Sanborn,202,0.015,0.9617,0.693,0.1436,"42,396 ",10.3,0.2195,,6,170.83333333333334,59505.833333333336,1007.0472233333334,0.0,2366.0,57456
85,42001,Lyman School District 42-1,"201 S Birch Ave, Presho, SD  57568",1216.6,Lyman,362,0.0,0.9428,0.512,0.0875,"46,598 ",14.4,0.3707,,8,155.0,55122.5,918.7083325,0.0,3882.0,57568
86,39002,Madison Central School District 39-2,"800 NE 9th St, Madison, SD  57042",250.91,Lake,1216,0.009000000000000001,0.9629,0.313,0.1447,"48,958 ",15.4,0.5183,22.2,63,172.0,62818.333333333336,1046.9722233333332,0.0,12350.0,57042
87,60003,Marion School District 60-3,"100 S Cedar St, Marion, SD  57043",110.28,Turner,171,0.038,0.9504,0.38,0.2065,"41,161 ",10.5,0.198,,5,152.25,59374.75,989.5791674999999,1.0,8242.0,57043
88,43007,McCook Central School District 43-7,"200 E Essex Ave, Salem, SD  57058",221.98,Mc Cook,369,0.006,0.9593,0.238,0.1724,"43,143 ",13.1,0.2056,20.4,27,168.25,64043.5,1067.39167,0.0,5515.0,57058
89,15001,McIntosh School District 15-1,"135 Main St, McIntosh, SD  57641",919.1,Corson,184,0.024,0.956,,0.1692,"48,360 ",13.5,0.225,20.9,10,164.0,60920.0,1015.33333,0.0,4177.0,57641
90,15002,McLaughlin School District 15-2,"601 S Main St, McLaughlin, SD  57642",794.56,Corson,442,0.048,0.8707,,0.2069,"46,567 ",5.8,0.2091,14.2,16,144.0,62269.666666666664,1037.8277766666665,1.0,4177.0,57642
91,46001,Meade School District 46-1,"1230 Douglas St, Sturgis, SD  57785",3124.99,Meade,2812,0.017,0.9464,0.351,0.1711,"47,280 ",13.3,0.3361,22.9,71,160.9090909090909,61990.181818181816,1033.1696954545457,0.0,27066.0,57785
92,33002,Menno School District 33-2,"410 5th St, Menno, SD  57045",179.49,Hutchinson,279,0.0,0.9673,0.509,0.0877,"43,896 ",20.1,0.0968,,6,171.6,61648.8,1027.479998,0.0,7277.0,57045
93,25004,Milbank School District 25-4,"1001 E Park Ave, Milbank, SD  57252",489.16,Grant,957,0.01,0.9617,0.3,0.1609,"46,880 ",17.2,0.2091,20.7,65,174.0,63018.6,1050.309998,0.0,7133.0,57252
94,29004,Miller School District 29-4,"623 E 4th St, Miller, SD  57362",1201.34,Hand,463,0.0,0.9605,0.207,0.1404,"40,124 ",17.0,0.2868,22.1,19,160.0,59128.0,985.46667,0.0,3303.0,57362
95,17002,Mitchell School District 17-2,"800 W 10th Ave, Mitchell, SD  57301",265.93,Davison,2781,0.009000000000000001,0.9542,0.336,0.1654,"51,461 ",16.1,0.5222,22.7,111,178.0,71111.11111111111,1185.1851855555556,0.0,19753.0,57301
96,62006,Mobridge-Pollock School District 62-6,"1107 1st Ave E, Mobridge, SD  57601",266.43,Walworth,626,0.01,0.9585,0.431,0.1949,"47,018 ",14.7,0.1028,19.3,40,172.0,63266.5,1054.441665,0.0,5502.0,57601
97,43002,Montrose School District 43-2,"309 S Church Ave, Montrose, SD  57048",124.29,Mc Cook,248,0.0,0.986,0.214,0.1614,"44,889 ",13.6,0.2209,21.6,14,169.5,61658.0,1027.633335,0.0,5515.0,57048
98,17003,Mount Vernon School District 17-3,"500 N Main St, Mount Vernon, SD  57363",167.69,Davison,214,0.028999999999999998,0.952,0.355,0.1304,"44,034 ",14.2,0.3645,,7,169.0,61796.666666666664,1029.9444433333335,0.0,19753.0,57363
99,51003,New Underwood School District 51-3,"300 E Ash St, New Underwood, SD  57761",356.0,Pennington,237,0.0,0.9542,0.316,0.1266,"43,896 ",13.6,0.3538,20.8,12,147.0,62061.333333333336,1034.3555566666666,1.0,108126.0,57761
100,9002,Newell School District 09-2,"501 Dartmouth Ave, Newell, SD  57760",1325.99,Butte,290,0.0,0.9754,0.538,0.2115,"40,201 ",12.3,0.0725,16.8,11,145.0,57606.666666666664,960.1111133333334,1.0,10194.0,57760
101,56007,Northwestern Area School District 56-7,"221 3rd St, Mellette, SD  57461",669.13,Spink,254,0.008,0.9577,0.256,0.1128,"46,050 ",15.7,0.2637,23.0,12,164.0,60745.666666666664,1012.42778,0.0,6478.0,57461
