District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
5005,Sioux Valley 05-5,Sioux Valley Middle School,4,17-18 Sioux Valley Middle Scho,173,65248,1087.46667,No
54002,Sisseton 54-2,Sisseton High School,1,17-18 SHS,166,62416,1040.26667,No
54002,Sisseton 54-2,Sisseton Middle School,2,17-18 SMS,166,61586,1026.43333,No
54002,Sisseton 54-2,Westside Elementary School,3,WS 17-18,166,63080,1051.33333,No
15003,Smee 15-3,Wakpala Elementary,2,Wakpala Elementary 17-18,163,60480,1008,No
15003,Smee 15-3,Wakpala High School,1,Wakpala High School 17-18,163,60480,1008,No
15003,Smee 15-3,Wakpala MS,4,Wakpala MS 17-18,163,60480,1008,No
26005,South Central 26-5,South Central Elementary,3,17-18 South Central Elementary,171,57630,960.5,No
26005,South Central 26-5,South Central High School,1,17-18 South Central High Schoo,349,123954,2065.9,No
26005,South Central 26-5,South Central MS,2,17-18 South Central MS,349,123990,2066.5,No
40002,Spearfish 40-2,Black Hills Education Connections ,6,17-18 Black Hills Education Co,193,70059,1167.65,No
40002,Spearfish 40-2,Creekside Elem,7,17-18 Creekside Elem,170,59310,988.5,No
40002,Spearfish 40-2,Mountain View Elem,8,17-18 Mountain View Elem,168,52755,879.25,No
40002,Spearfish 40-2,Spearfish Academy at Canyon Hills Elementary,9,Spearfish Academy Elem,170,63920,1065.33333,No
40002,Spearfish 40-2,Spearfish Academy at Canyon Hills High School,10,17-18 Spearfish Academy at Can,168,63168,1052.8,No
40002,Spearfish 40-2,Spearfish High School,1,17-18 Spearfish High School,170,60662,1011.03333,No
40002,Spearfish 40-2,Spearfish MS,5,17-18 Spearfish MS,170,61169,1019.48333,No
40002,Spearfish 40-2,West Elementary,3,17-18 West Elementary,170,53490,891.5,No
57001,Stanley County 57-1,Cheyenne Elementary,6,17-18 Cheyenne Elementary,196,82450,1374.16667,Yes
57001,Stanley County 57-1,Cheyenne Elementary,6,17-18 Cheyenne Elementary KG,118,50540,842.33333,Yes
57001,Stanley County 57-1,Stanley County Elementary,8,17-18 Stanley County Elem JK,196,65051,1084.18333,Yes
57001,Stanley County 57-1,Stanley County Elementary,8,17-18 Stanley County Elementar,150,60180,1003,Yes
57001,Stanley County 57-1,Stanley County High School,1,17-18 Stanley County High Scho,150,61280,1021.33333,Yes
57001,Stanley County 57-1,Stanley County Middle School,2,17-18 Stanley County Middle Sc,150,61280,1021.33333,Yes
54006,Summit 54-6,Summit Elementary,2,17-18 Summit Elem 7/8,153,58653,977.55,Yes
54006,Summit 54-6,Summit Elementary,2,17-18 Summit Elem Kind,153,58653,977.55,Yes
54006,Summit 54-6,Summit Elementary,2,17-18 Summit Elementary,153,58254,970.9,Yes
54006,Summit 54-6,Summit High School,1,17-18 Summit High School,153,58653,977.55,Yes
41005,Tea Area 41-5,Tea Area Frontier Elementary,5,17-18 Tea Area Frontier Elemen,173,61820,1030.33333,No
41005,Tea Area 41-5,Tea Area High School,3,17-18 Tea Area High School,173,63040,1050.66667,No
41005,Tea Area 41-5,Tea Area Legacy Elementary,1,17-18 Tea Area Legacy Elementa,173,61820,1030.33333,No
41005,Tea Area 41-5,Tea Area Middle School,2,17-18 Tea Area Middle School,173,63650,1060.83333,No
20003,Timber Lake 20-3,Timber Lake Elementary K-5,2,17-18 Elem,180,59200,986.66667,No
20003,Timber Lake 20-3,Timber Lake Elementary K-5,2,17-18 K1,87,28860,481,No
20003,Timber Lake 20-3,Timber Lake High School 9-12,1,17-18 HS,169,58855,980.91667,No
20003,Timber Lake 20-3,Timber Lake Middle 6-8,3,17-18 MS,169,57961,966.01667,No
66001,Todd County 66-1,He Dog School,5,17-18 He Dog School,165,60188,1003.13333,No
66001,Todd County 66-1,Klein Elementary,8,17-18 Klein Elementary,165,60555,1009.25,No
66001,Todd County 66-1,Lakeview Elementary,9,17-18 Lakeview Elementary,165,60555,1009.25,No
66001,Todd County 66-1,Littleburg Elementary,12,17-18 Littleburg Elementary,165,60555,1009.25,No
66001,Todd County 66-1,O'Kreek Elementary,14,17-18 O'Kreek Elementary,164,60188,1003.13333,No
66001,Todd County 66-1,Resource Center,11,17-18 Resource Center,167,61289,1021.48333,No
66001,Todd County 66-1,Rosebud Elementary,4,17-18 Rosebud Elementary,166,60555,1009.25,No
66001,Todd County 66-1,Spring Creek Elem,7,17-18 Spring Creek Elem,164,59821,997.01667,No
66001,Todd County 66-1,Todd County Achievement High School,17,17-18 Todd County Achievement ,165,58080,968,No
66001,Todd County 66-1,Todd County Achievement Middle School,18,17-18 Todd County Achievement ,165,57768,962.8,No
66001,Todd County 66-1,Todd County Elem,16,17-18 Todd County Elem,166,61875,1031.25,No
66001,Todd County 66-1,Todd County HS,1,17-18 Todd County HS,165,59730,995.5,No
66001,Todd County 66-1,Todd County MS,10,17-18 Todd County MS,165,61875,1031.25,No
66001,Todd County 66-1,Wanbli Wiconi Tipi,88,17-18 Wanbli Wiconi Tipi,168,61992,1033.2,No
49006,Tri-Valley 49-6,Tri-Valley Elementary,2,17-18 Tri-Valley Elementary,172,62664,1044.4,No
49006,Tri-Valley 49-6,Tri-Valley High School,1,17-18 Tri-Valley High School,172,62834,1047.23333,No
49006,Tri-Valley 49-6,Tri-Valley Jr High,3,17-18 Tri-Valley Jr High,172,62834,1047.23333,No
33005,Tripp-Delmont 33-5,Clearfield Colony Elementary,7,17-18 Clearfield Colony Elemen,146,54596,909.93,Yes
33005,Tripp-Delmont 33-5,Greenwood Colony Elementary,5,17-18 Greenwood Colony Element,146,54596,909.93,Yes
33005,Tripp-Delmont 33-5,Tripp-Delmont Elementary K-6,3,17-18 Tripp-Delmont Elementary,146,58575,976.25,Yes
33005,Tripp-Delmont 33-5,Tripp-Delmont High School,1,17-18 Tripp-Delmont High Schoo,146,58714,978.56667,Yes
33005,Tripp-Delmont 33-5,Tripp-Delmont JH,2,17-18 Tripp-Delmont JH,146,58714,978.56667,Yes
13001,Vermillion 13-1,Austin Elementary School,3,17-18 Austin Elementary School,173,58284,971.4,No
13001,Vermillion 13-1,Jolley Elementary School,4,17-18 Jolley Elementary School,173,59892,998.2,No
13001,Vermillion 13-1,Vermillion High School,1,17-18 Vermillion High School,172,61795,1029.91667,No
13001,Vermillion 13-1,Vermillion Middle School,2,17-18 Vermillion Middle School,172,60527,1008.78333,No
60006,Viborg-Hurley 60-6,Cameron Colony,4,17-18 Cameron Colony,177,58926,982.1,No
60006,Viborg-Hurley 60-6,Viborg-Hurley Elementary,2,17-18 Viborg-Hurley Elementary,151,59256,987.6,Yes
60006,Viborg-Hurley 60-6,Viborg-Hurley High School,1,17-18 Viborg-Hurley High Schoo,151,61772,1029.53333,Yes
60006,Viborg-Hurley 60-6,Viborg-Hurley Middle School,3,17-18 Viborg-Hurley Middle Sch,151,58960,982.66667,Yes
11004,Wagner Community 11-4,Wagner Elementary School,2,17-18 Wagner Elementary School,170,58930,982.16667,No
11004,Wagner Community 11-4,Wagner High School,1,17-18 Wagner High School,170,64090,1068.16667,No
11004,Wagner Community 11-4,Wagner Middle School,3,17-18 WMS 5-6,170,58517,975.28333,No
11004,Wagner Community 11-4,Wagner Middle School,3,17-18 WMS 7-8,170,58517,975.28333,No
11004,Wagner Community 11-4,Wagner Primary School,4,WPSK1 17-18,165,57376,956.26667,No
11004,Wagner Community 11-4,Wagner Primary School,4,WPSKG 17-18,165,57376,956.26667,No
51005,Wall 51-5,Big White Elementary School,8,17-18 Big White Elementary Sch,146,58380,973,Yes
51005,Wall 51-5,Wall Elementary School,2,17-18 Wall Elementary School,146,58380,973,Yes
51005,Wall 51-5,Wall High School,1,17-18 Wall High School,146,57960,966,Yes
51005,Wall 51-5,Wall Middle School,6,17-18 Wall Middle School,146,58800,980,Yes
6005,Warner 06-5,Warner Elementary School,2,17-18 Warner Elementary School,169,58808,980.13333,No
6005,Warner 06-5,Warner Hi Sch,1,17-18 Warner Hi Sch,169,62763,1046.05,No
6005,Warner 06-5,Warner Middle Sch,3,17-18 Warner Middle Sch,169,62681,1044.68333,No
14004,Watertown 14-4,Jefferson Elementary,9,17-18 Jefferson Elementary,174,64200,1070,No
14004,Watertown 14-4,Lincoln Elementary School,5,17-18 Lincoln Elementary Schoo,175,64350,1072.5,No
14004,Watertown 14-4,McKinley Elementary School,6,17-18 McKinley Elementary Scho,175,64350,1072.5,No
14004,Watertown 14-4,Mellette Elementary School,7,17-18 Mellette Elementary Scho,176,64200,1070,No
14004,Watertown 14-4,Roosevelt Elementary,8,17-18 Roosevelt Elementary,174,64200,1070,No
14004,Watertown 14-4,Watertown High School,1,17-18 Watertown High School,174,64112,1068.53333,No
14004,Watertown 14-4,Watertown Intermediate,13,17-18 Watertown Intermediate,174,64200,1070,No
14004,Watertown 14-4,Watertown Middle School,2,17-18 Watertown Middle School,174,62864,1047.73333,No
18003,Waubay 18-3,Waubay Elem,2,17-18 Waubay Elem K-5,169,59835,997.25,No
18003,Waubay 18-3,Waubay Hi Sch,1,17-18 Waubay Hi Sch,169,62134,1035.56667,No
18003,Waubay 18-3,Waubay Middle School,3,17-18 Waubay Middle School,169,62134,1035.56667,No
14005,Waverly 14-5,Waverly/South Shore Elementary,2,17-18 Waverly/South Shore Elem,174,63348,1055.8,No
14005,Waverly 14-5,Waverly/South Shore High School,1,17-18 Waverly/South Shore High,174,63108,1051.8,No
14005,Waverly 14-5,Waverly/South Shore Middle School,3,17-18 Waverly/South Shore Midd,174,63480,1058,No
18005,Webster Area,Webster Area Elementary School,3,17-18 Webster Area Elementary ,170,60920,1015.33333,No
18005,Webster Area,Webster Area Elementary School,3,17-18 Webster Area K1,99,35700,595,No
18005,Webster Area,Webster Area High School,1,17-18 Webster Area High School,170,63470,1057.83333,No
18005,Webster Area,Webster Area Middle School,2,17-18 Webster Area Middle Scho,170,62280,1038,No
36002,Wessington Springs 36-2,Spring Valley Elementary,5,17-18 Spring Valley Elementary,167,60120,1002,No
36002,Wessington Springs 36-2,Wessington Springs Elem,2,17-18 Wessington Springs Elem,165,64350,1072.5,No
36002,Wessington Springs 36-2,Wessington Springs Elementary Cyber School,94,17-18 Wessington Springs Eleme,260,109200,1820,No
36002,Wessington Springs 36-2,Wessington Springs Hi Sch,1,17-18 Wessington Springs Hi Sc,165,64845,1080.75,No
36002,Wessington Springs 36-2,Wessington Springs High School Cyber School,92,17-18 Wessington Springs High ,260,109200,1820,No
36002,Wessington Springs 36-2,Wessington Springs Jr. High,4,17-18 Wessington Springs MS,165,64515,1075.25,No
36002,Wessington Springs 36-2,Wessington Springs Middle School Cyber School,93,17-18 Wessington Springs Middl,260,109200,1820,No
49007,West Central 49-7,Sequel Transition Academy,7,17-18 Sequel Transition Academ,170,64935,1082.25,No
49007,West Central 49-7,West Central Hartford Elem,5,17-18 West Central Hartford El,170,62240,1037.33333,No
49007,West Central 49-7,West Central Hi Sch,1,17-18 West Central Hi Sch,170,64519,1075.31667,No
49007,West Central 49-7,West Central Humboldt Elem,2,17-18 West Central Humboldt El,170,62240,1037.33333,No
49007,West Central 49-7,West Central MS,4,17-18 West Central MS,170,63376,1056.26667,No
1003,White Lake 01-3,White Lake Elementary,2,17-18 White Lake Elementary,168,57477,957.95,No
1003,White Lake 01-3,White Lake Elementary,2,17-18 White Lake Jr. Kind.,166,30810,513.5,No
1003,White Lake 01-3,White Lake Elementary,2,17-18 White Lake Kindergarten,175,59976,999.6,No
1003,White Lake 01-3,White Lake High School,1,17-18 White Lake High School,168,63112,1051.86667,No
1003,White Lake 01-3,White Lake JH,3,17-18 White Lake JH,168,59976,999.6,No
47001,White River 47-1,Norris Elementary,8,17-18 Norris Elementary,151,60853,1014.21667,Yes
47001,White River 47-1,White River Elementary,2,17-18 White River Elementary,151,60853,1014.21667,Yes
47001,White River 47-1,White River High School,1,17-18 White River High School,151,62363,1039.38333,Yes
47001,White River 47-1,White River Middle Sch,4,17-18 White River Middle Sch,151,62665,1044.41667,Yes
12003,Willow Lake 12-3,Willow Lake Elem,2,17-18 Willow Lake Elem (K-5),163,54390,906.5,No
12003,Willow Lake 12-3,Willow Lake Hi Sch,1,17-18 Willow Lake Hi School,163,59280,988,No
12003,Willow Lake 12-3,Willow Lake Middle School,3,17-18 Willow Lake Middle Schoo,163,59280,988,No
12003,Willow Lake 12-3,Collins Colony Elem,6,17-18 Collins Colony Elem,163,54390,906.5,No
12003,Willow Lake 12-3,Mayfield Colony Elem,4,17-18 Mayfield Colony Elem,163,54390,906.5,No
12003,Willow Lake 12-3,Shamrock Colony,5,17-18 Shamrock Colony,163,54390,906.5,No
54007,Wilmot 54-7,Wilmot Elem,2,17-18 Elementary,172,62464,1041.06667,No
54007,Wilmot 54-7,Wilmot Hi Sch,1,17-18 Wilmot Hi Sch,172,58508,975.13333,No
54007,Wilmot 54-7,Wilmot Jr. High,3,17-18 Wilmot Jr. High,172,57824,963.73333,No
59002,Winner 59-2,Winner Elementary,4,17-18 Winner Elementary,149,59600,993.33333,Yes
59002,Winner 59-2,Winner High School,1,17-18 Winner High School,149,58259,970.98333,Yes
59002,Winner 59-2,Winner Middle School,2,17-18 Winner Middle School,149,58259,970.98333,Yes
2006,Wolsey-Wessington 02-6,Wolsey-Wessington Elementary,2,17-18 Wolsey-Wessington Elemen,153,55420,923.66667,Yes
2006,Wolsey-Wessington 02-6,Wolsey-Wessington High School,1,17-18 Wolsey-Wessington High S,153,58240,970.66667,Yes
2006,Wolsey-Wessington 02-6,Wolsey-Wessington Middle School,3,17-18 Wolsey-Wessington Middle,153,58240,970.66667,Yes
55004,Woonsocket 55-4,Woonsocket Elementary,3,17-18 Woonsocket Elementary,174,58068,967.8,No
55004,Woonsocket 55-4,Woonsocket Elementary,3,17-18 Woonsocket Jr. High,169,58980,983,No
55004,Woonsocket 55-4,Woonsocket High School,1,17-18 Woonsocket High School,168,58615,976.91667,No
63003,Yankton 63-3,Beadle Elem,3,17-18 Beadle Elem,173,58915,981.91667,No
63003,Yankton 63-3,Lincoln Elem,4,17-18 Lincoln Elem,173,58915,981.91667,No
63003,Yankton 63-3,Stewart Elem,5,17-18 Stewart Elem,173,58915,981.91667,No
63003,Yankton 63-3,Webster Elem,6,17-18 Webster Elem,173,58915,981.91667,No
63003,Yankton 63-3,Yankton Hi Sch,1,17-18 Yankton Hi Sch,173,70506,1175.1,No
63003,Yankton 63-3,Yankton Middle School,2,17-18 Yankton Middle School,173,68847,1147.45,No
