District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
23003,Oelrichs 23-3,Oelrichs Jr Hi,3,17-18 Oelrichs Jr Hi,163,59850,997.5,No
65001,Oglala Lakota 65-1,Batesland School ,1,17-18 Batesland School - 01,154,57810,963.5,No
65001,Oglala Lakota 65-1,Oglala Lakota County Alternative,9,17-18 Oglala Lakota County Alt,165,65940,1099,No
65001,Oglala Lakota 65-1,Oglala Lakota County Virtual High School,92,17-18 Oglala Lakota County Vir,179,69810,1163.5,No
65001,Oglala Lakota 65-1,Red Shirt School ,4,17-18 Red Shirt School - 04,158,59070,984.5,No
65001,Oglala Lakota 65-1,Rockyford School,3,17-18 Rockyford School,155,57900,965,No
65001,Oglala Lakota 65-1,Wolf Creek School,2,17-18 Wolf Creek School,155,57900,965,No
39005,Oldham-Ramona 39-5,Oldham-Ramona Elementary,2,17-18 O/R 5-6,158,61602,1026.7,Yes
39005,Oldham-Ramona 39-5,Oldham-Ramona Elementary,2,17-18 O/R K-4,158,57042,950.7,Yes
39005,Oldham-Ramona 39-5,Oldham-Ramona High School,1,17-18 O/R High School,158,59626,993.76667,Yes
39005,Oldham-Ramona 39-5,Oldham-Ramona Junior High School,3,17-18 O/R Junior High,158,59626,993.76667,Yes
39005,Oldham-Ramona 39-5,Spring Lake Colony Elementary,4,17-18 Spring Lake Colony Elem,166,58760,979.33333,No
39005,Oldham-Ramona 39-5,Spring Lake Colony HS,5,17-18 Spring Lake Colony HS,166,64040,1067.33333,No
60004,Parker 60-4,Parker Elementary School,2,17-18 Parker Elementary K-6,156,63309,1055.15,Yes
60004,Parker 60-4,Parker High School,1,17-18 Parker High School,156,63309,1055.15,Yes
60004,Parker 60-4,Parker JH,3,17-18 Parker JH,156,63309,1055.15,Yes
33003,Parkston 33-3,New Elm Spring Colony Elem,8,17-18 New Elm Spring Colony El,173,62910,1048.5,No
33003,Parkston 33-3,Old Elm Spring Colony Elem,3,17-18 Old Elm Spring Colony El,173,62910,1048.5,No
33003,Parkston 33-3,Our Home,88,17-18 Our Home,173,66350,1105.83333,No
33003,Parkston 33-3,Parkston Elementary,2,17-18 Parkston Elementary,173,62910,1048.5,No
33003,Parkston 33-3,Parkston High School,1,17-18 Parkston High School,173,65210,1086.83333,No
33003,Parkston 33-3,Parkston Junior High,5,17-18 Parkston Junior High,173,66700,1111.66667,No
32002,Pierre 32-2,Buchanan Elementary,3,17-18 Buchanan Elementary,174,58181,969.68333,No
32002,Pierre 32-2,Georgia Morse Middle School,2,17-18 Georgia Morse Middle Sch,174,60536,1008.93333,No
32002,Pierre 32-2,Jefferson Elementary,6,17-18 Jefferson Elementary,174,58181,969.68333,No
32002,Pierre 32-2,Kennedy Elementary School,8,17-18 Kennedy Elementary Schoo,174,58181,969.68333,No
32002,Pierre 32-2,T F Riggs High School,1,17-18 T F Riggs High School,174,60982,1016.36667,No
1001,Plankinton 01-1,Aurora Plains Academy High School,5,17-18 APA HS,191,66277,1104.61667,No
